2024-04-04 21:59:24.9096 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 21:59:24.9324 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 21:59:24.9407 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 21:59:24.9564 | HotelProject.MainForm.LoadGuestData | WARN | В таблицу был добавлен гость, который заехал в отель раньше чем родился. Имя гостя Белинский Виссарион Григорьевич 

2024-04-04 21:59:24.9564 | HotelProject.MainForm.LoadGuestData | WARN | В таблицу был добавлен гость, выселился раньше чем заселился. Имя гостя Белинский Виссарион Григорьевич 

2024-04-04 21:59:24.9564 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 21:59:24.9564 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 21:59:24.9564 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 21:59:24.9564 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 21:59:26.1946 | HotelProject.MainForm.ShowGuestData | DEBUG | Пользователь выбрал в таблице гостя Лермонтов Михаил Юрьевич 

2024-04-04 21:59:48.3763 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 21:59:48.3998 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 21:59:48.4079 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 21:59:48.4275 | HotelProject.MainForm.LoadGuestData | WARN | В таблицу был добавлен гость, который заехал в отель раньше чем родился. Имя гостя Белинский Виссарион Григорьевич 

2024-04-04 21:59:48.4275 | HotelProject.MainForm.LoadGuestData | WARN | В таблицу был добавлен гость, выселился раньше чем заселился. Имя гостя Белинский Виссарион Григорьевич 

2024-04-04 21:59:48.4275 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 21:59:48.4275 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 21:59:48.4275 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 21:59:48.4275 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 21:59:49.3371 | HotelProject.MainForm.ShowGuestData | DEBUG | Пользователь выбрал в таблице гостя Пушкин Александр Сергеевич 

2024-04-04 21:59:49.7654 | HotelProject.MainForm.ShowGuestData | DEBUG | Пользователь выбрал в таблице гостя Толстой Лев Николаевич 

2024-04-04 21:59:50.3381 | HotelProject.MainForm.ShowGuestData | DEBUG | Пользователь выбрал в таблице гостя Белинский Виссарион Григорьевич 

