2024-04-04 18:10:23.1860 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:10:23.2638 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:10:23.3460 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 18:10:23.3460 | HotelProject.MainForm.LoadGuestData | ERROR | Файла guests.json не существует в папке Data 

2024-04-04 18:10:23.3460 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 18:10:23.3460 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:10:23.3619 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 18:10:23.3619 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 18:10:23.3619 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:12:43.4903 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:12:43.5690 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:12:43.5760 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 18:12:43.5760 | HotelProject.MainForm.LoadGuestData | ERROR | Файла guests.json не существует в папке Data 

2024-04-04 18:12:43.5760 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 18:12:43.5760 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:12:43.5760 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 18:12:43.5760 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 18:12:43.5760 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:12:48.1371 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:12:48.2132 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:12:48.2169 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 18:12:48.2169 | HotelProject.MainForm.LoadGuestData | ERROR | Файла guests.json не существует в папке Data 

2024-04-04 18:12:48.2169 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 18:12:48.2169 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:12:48.2169 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 18:12:48.2169 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 18:12:48.2169 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:13:24.9809 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:13:25.0582 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:13:25.0622 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

